Date NumberKilled NumberInjured TotalCasualties ResponsibleHamas ResponsibleisMartyrs ResponsibleisPIJ ResponsibleisOther TargetisMilitary TargetisCivilian TargetisBus TargetisCafe TargetisCheckpoint TargetisResidence TargetisOffshore TargetisStore TargetisStreet TargetisTravelstop DeviceisCar DeviceisBoat AttackisPrevented AttackerisChallenged AgeofFirstAttacker FirstAttackerisMale FirstAttackerisFemale
10-Feb-03 0 0 0 1 0 0 0 NA NA 0 0 0 0 0 0 0 0 0 0 1 1 NA NA NA
6-Feb-03 0 0 0 0 0 1 0 NA NA 0 0 0 0 0 0 0 0 1 0 1 1 NA NA NA
25-Jan-03 0 0 0 0 0 1 0 NA NA 0 0 0 0 0 0 1 0 0 0 0 1 45 0 1
17-Jan-03 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 NA NA NA
5-Jan-03 23 100 123 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 20 1 0
22-Nov-02 0 4 4 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 21 1 0
21-Nov-02 21 50 71 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 23 1 0
4-Nov-02 2 69 71 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 20 1 0
27-Oct-02 3 17 20 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 19 1 0
10-Oct-02 1 16 17 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 31 1 0
19-Sep-02 6 59 65 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 NA 1 0
18-Sep-02 1 3 4 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 22 1 0
4-Aug-02 9 40 49 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 NA 1 0
30-Jul-02 0 5 5 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 17 1 0
17-Jul-02 5 30 35 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 19 1 0
19-Jun-02 7 50 57 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 17 1 0
18-Jun-02 19 52 71 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 22 1 0
17-Jun-02 0 0 0 0 1 0 0 NA NA 0 0 0 0 0 0 1 0 0 0 0 1 17 1 0
11-Jun-02 1 11 12 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 20 1 0
5-Jun-02 17 50 67 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 18 1 0
27-May-02 2 57 59 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 18 1 0
23-May-02 0 5 5 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 19 1 0
22-May-02 2 50 52 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 16 1 0
19-May-02 3 59 62 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 NA 1 0
8-May-02 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 20 1 0
7-May-02 15 60 75 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 NA 1 0
20-Apr-02 0 0 0 0 0 0 0 NA NA 0 0 0 0 0 0 1 0 0 0 0 1 NA 1 0
19-Apr-02 0 0 0 0 0 1 0 NA NA 0 0 1 0 0 0 0 0 0 0 0 0 NA 1 0
12-Apr-02 6 100 106 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 20 0 1
10-Apr-02 8 22 30 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 23 1 0
2-Apr-02 0 0 0 0 1 0 0 NA NA 0 0 1 0 0 0 0 0 0 0 0 1 21 1 0
1-Apr-02 1 2 3 0 1 0 0 NA NA 0 0 1 0 0 0 0 0 1 0 0 1 19 1 0
31-Mar-02 15 30 45 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 23 1 0
31-Mar-02 0 4 4 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 17 1 0
30-Mar-02 1 30 31 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 23 1 0
29-Mar-02 2 30 32 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 18 0 1
27-Mar-02 30 150 180 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 25 1 0
26-Mar-02 0 0 0 0 1 0 0 NA NA 0 0 1 0 0 0 0 0 1 0 0 1 22 1 0
22-Mar-02 0 1 1 0 0 1 0 NA NA 0 0 1 0 0 0 0 0 0 0 0 1 NA 1 0
21-Mar-02 5 86 91 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 21 1 0
20-Mar-02 7 42 49 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 20 1 0
9-Mar-02 11 50 61 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 22 1 0
2-Mar-02 11 40 51 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 20 1 0
27-Feb-02 0 3 3 0 1 0 0 NA NA 0 0 1 0 0 0 0 0 0 0 0 1 21 0 1
21-Feb-02 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 24 1 0
18-Feb-02 1 0 1 0 1 0 0 NA NA 0 0 1 0 0 0 0 0 1 0 0 1 NA 1 0
16-Feb-02 3 6 9 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 20 1 0
7-Feb-02 0 0 0 0 0 0 0 NA NA 0 0 1 0 0 0 0 0 0 0 0 0 23 1 0
30-Jan-02 0 2 2 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 22 1 0
27-Jan-02 1 150 151 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 20 0 1
25-Jan-02 0 26 26 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 19 1 0
9-Dec-01 0 8 8 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 20 1 0
5-Dec-01 0 8 8 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 43 1 0
2-Dec-01 15 60 75 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 21 1 0
1-Dec-01 11 188 199 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 25 1 0
29-Nov-01 3 9 12 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 23 1 0
26-Nov-01 0 2 2 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 22 1 0
8-Nov-01 0 2 2 1 0 0 0 NA NA 0 0 1 0 0 0 0 0 0 0 0 0 19 1 0
7-Oct-01 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 17 1 0
9-Sep-01 3 90 93 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 48 1 0
9-Sep-01 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 25 1 0
4-Sep-01 0 13 13 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 26 1 0
12-Aug-01 0 21 21 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 27 1 0
9-Aug-01 15 130 145 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 23 1 0
8-Aug-01 0 0 0 1 0 0 0 NA NA 0 0 1 0 0 0 0 0 1 0 0 1 23 1 0
4-Aug-01 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 NA 1 0
16-Jul-01 2 11 13 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 20 1 0
10-Jul-01 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 26 1 0
22-Jun-01 2 0 2 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 23 1 0
1-Jun-01 21 120 141 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 21 1 0
29-May-01 0 2 2 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 21 1 0
25-May-01 0 65 65 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 21 1 0
24-May-01 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 22 1 0
18-May-01 5 100 105 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 20 1 0
29-Apr-01 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 23 1 0
22-Apr-01 1 60 61 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 22 1 0
28-Mar-01 2 4 6 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 23 1 0
27-Mar-01 0 27 27 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 21 1 0
4-Mar-01 3 50 53 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 23 1 0
1-Jan-01 0 20 20 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 24 1 0
22-Dec-00 0 5 5 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 22 1 0
6-Nov-00 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 29 1 0
