SUBSIDIZED.LUNCH PTRATIO READING.ABOVE.50
65 76.8278965129359 NA 29
66 25.588491717524 23.4503510531595 NA
67 68.6434302908726 NA 15
68 NA 24.419983065199 NA
69 31.8604651162791 20.3072196620584 NA
70 49.3510324483776 23.4270047978067 45
71 NA 21.0565780504431 NA
72 24.9950445986125 NA NA
73 65.8902691511387 24.5117428924598 NA
74 32.5987279988168 NA NA
75 81.964573268921 22.5085616438356 14
76 37.8320172290022 NA 54
77 64.279183175861 NA 32
78 86.4936207655081 NA 18
79 NA NA NA
80 73.6089996959562 20.6129032258065 NA
81 NA 21.4170506912442 60
82 26.7957526545909 19.1504854368932 63
83 52.9170931422723 21.8995633187773 50
84 NA 18.9655172413793 36
85 30.5055227095651 22.576788291074 NA
86 8.36221352711012 24.2746044515956 NA
87 NA 23.9818631492168 24
88 62.871681687205 27.5054157640393 28
89 79.6765957446809 NA NA
90 49.1721460825477 NA NA
91 9.73348783314021 17.7246909455396 NA
92 25.843945825753 24.1142443962401 NA
93 NA 23.9576629974598 NA
94 23.9477040816327 24.1229724632214 59
95 NA 21.542025148908 NA
96 NA NA 48
97 33.5116818262886 22.9572925060435 NA
98 42.8409459021704 25.1415032249572 NA
99 61.4000866926745 25.2252747252747 32
100 68.0851063829787 22.4950337703615 23
101 13.8000809388911 21.2887438825449 NA
102 50.674017547988 NA NA
103 14.826244465316 24.900641025641 NA
104 NA 27.4027459954233 27
105 NA NA 90
106 2.97174111212397 NA NA
107 NA NA 38
108 73.183943472326 NA NA
109 59.296941237853 27.0596092836868 18
110 NA 22.5547183351274 NA
111 75.0342977348252 27.995777027027 23
112 44.0220253770649 25.6258156364931 36
113 1.94360184248961 NA 81
114 58.2283516774964 24.5058004640371 23
115 61.8810986628117 23.867133609254 NA
116 NA 26.0442219440968 NA
117 0.265339966832504 22.1773612112473 NA
118 26.0906515580737 22.315280853634 68
119 NA 22.9909365558912 76
120 NA 23.6489504242966 NA
121 NA NA 64
122 NA 24.4226579520697 37
123 78.4239149752959 28.0999707687811 NA
124 40.2360661714442 25.056066382597 38
125 33.8506304558681 24.4457424714434 46
126 NA 24.2508591065292 69
127 NA 23.1666666666667 NA
128 28.1723484848485 24.8222222222222 65
129 7.19727345629511 NA NA
130 25.6399317406143 NA 62
131 59.2872117400419 23.5514918190568 NA
132 NA 23.4583272301157 34
133 14.7922867865925 NA 73
134 34.7676767676768 20.9668168783286 58
135 NA NA NA
136 27.0007209805335 NA 63
137 55.9322033898305 14.3160377358491 NA
138 37.2996794871795 19.4728682170543 NA
139 46.9275405445618 21.3448818897638 49
140 46.5384615384615 NA 53
141 56.3311688311688 15.7329842931937 NA
142 37.7889869693148 22.7861163227017 35
143 NA NA 9
144 50.9282399143163 NA NA
145 52.4079320113314 21.1577424023155 NA
146 60.9182098765432 18.8121752041574 27
147 33.2777314428691 19.2295345104334 NA
148 64.8508430609598 18.4009546539379 32
149 45.933734939759 14.6697038724374 NA
150 21.8400687876182 20.5942275042445 NA
151 10.706817231284 20.6785411365564 77
152 40.1345291479821 20.6070396191124 48
153 14.2795513373598 22.6321036889332 74
154 40.6666666666667 NA NA
155 67.2693726937269 24.9086378737542 27
156 45.6702253855279 20.9738717339667 50
157 NA NA 56
158 NA 21.2020460358056 55
159 NA NA 72
160 17.3380285722466 23.0004288952883 NA
161 48.1560822795015 24.6732224738965 NA
162 9.31627349060376 NA 82
163 39.0254420008624 22.4827586206897 64
164 36.019976669583 NA 53
165 21.0138794854435 24.7171532846715 63
166 73.2772340256227 25.0321867794005 NA
167 10.5344975854998 22.1910073196236 70
168 29.8689696247767 24.1694687289845 54
169 10.5164960182025 22.6581642900181 78
170 11.6002452483139 23.1987918725975 79
171 23.3564377231674 19.6784192173576 68
172 28.6609686609687 NA 49
173 17.136240833655 NA NA
174 NA NA 63
175 42.2902910247004 NA 33
176 75.5298651252409 21.8996590355577 30
177 NA NA 47
178 NA 25.2311373152183 47
179 NA NA 34
180 62.4077800134138 NA 49
181 NA NA NA
182 43.0689140716757 24.0922034941892 39
183 62.5049747000967 NA 38
184 55.9128893390732 NA 32
185 47.2343460276708 23.5685282566731 46
186 NA NA NA
187 NA 25.2796420581656 NA
188 NA 25.3969359331476 NA
189 18.1699877999187 25.5497985031664 NA
190 18.2164543398024 25.86148169174 NA
191 54.8438652569462 NA 33
192 36.9447663190421 23.1169705126637 47
193 26.1143156790771 22.1977666289044 61
194 33.1153765028475 22.2133333333333 52
195 NA 20.1801801801802 53
196 NA 24.8267842434226 NA
197 NA NA 64
198 29.3060600267635 22.2895064288677 NA
199 37.9553798362045 NA 47
200 35.7537490134175 NA 63
201 50.6241134751773 22.9867549668874 40
202 40.7033727298933 25.3642857142857 NA
203 25.955670898506 NA NA
204 44.4521203103412 24.0302328416433 33
205 39.998063204106 NA 26
206 NA 22.6292806251436 44
207 54.401519949335 21.2772133526851 NA
208 34.6040390288178 24.7211127943809 54
209 57.88501888376 25.1621099705255 29
210 24.7007250042151 24.4390832328106 61
211 70.2357454924486 23.9868434683518 30
212 NA 26.5114405414115 39
213 27.5710334422932 25.0716245047242 50
214 NA NA 55
215 NA 22.5206611570248 61
216 NA NA 41
217 62.3115577889447 20.4873646209386 40
218 NA 23.5105551211884 NA
219 NA 24.5208208806535 53
220 12.8909229595728 NA 82
221 NA 23.4224049331963 NA
222 NA 24.1105354058722 59
223 7.72303595206391 NA 89
224 48.6942328618063 NA 48
225 10.5881569750025 22.8757095906782 78
226 NA 23.1159175397094 67
227 NA NA NA
228 40.0597659168258 23.6444866920152 50
229 26.9230769230769 24.3261749144102 69
230 NA 23.3502479529466 44
231 49.2650415411303 NA 46
232 64.5542826673561 NA NA
233 NA NA 64
234 44.1298342541436 21.5606361829026 52
235 NA 22.0265151515152 47
236 NA 22.0029152019206 NA
237 NA 24.385775862069 51
238 13.773987206823 NA NA
239 68.7270837543667 22.9404855129209 NA
240 NA 23.96259626 NA
241 18.0736636245111 23.304248861912 74
242 38.0746712736347 21.2192704203014 71
243 22.4657866053046 NA 72
244 NA NA 65
245 36.8269067436725 22.2814653608995 58
246 NA NA 69
247 NA 21.0093252879868 67
248 NA NA NA
249 39.2772711921648 NA 53
250 35.7063300538333 21.6737698566447 49
251 44.5420326223338 24.507874015748 NA
252 NA NA 61
253 7.89443488238669 18.7476866132017 NA
254 NA 28.2108543235523 49
255 NA 23.7628014535844 53
256 28.8935721812434 NA NA
257 NA NA 34
258 NA 24.3335290663535 73
259 39.608938547486 18.7363834422658 56
260 49.3771234428086 20.7381288199342 50
261 32.1016166281755 NA 73
262 11.443661971831 NA NA
263 40.8194233687405 20.0236966824645 NA
264 28.1108624220201 22.8889128791968 49
265 NA 20.2287440656021 NA
266 NA 22.3814655172414 NA
267 35.4608814127758 25.6707959936742 37
268 39.7086763774541 NA 57
269 30.7603241991509 21.1476725521669 61
270 19.6758386732002 22.2929762230118 NA
271 33.5580524344569 21.0230547550432 NA
272 21.4638665843113 20.9132720105125 59
273 NA 23.1700146986771 33
274 42.1307506053269 NA 53
275 55.0072568940494 NA 39
276 42.6006966151648 24.1786317567568 52
277 NA 21.6866158868335 NA
278 72.2976963969285 21.4437869822485 33
279 49.2564175428626 23.0617071597506 47
280 NA NA 40
281 NA 19.6438356164384 45
282 60.1459854014599 17.9083094555874 61
283 84.0990371389271 NA 18
284 NA 22.9647513278609 30
285 76.580373269115 22.6187335092348 NA
286 44.8332783096732 NA 46
287 72.663139329806 21.1060329067642 31
288 92.3344947735192 22.9189189189189 11
289 NA NA 68
290 51.8065433854908 23.4847501622323 NA
291 NA 22.8771733034212 72
292 NA 23.2098614007114 63
293 38.1582125603865 NA 56
294 NA 23.810318275154 79
295 1.24705089315807 20.988490182803 NA
296 23.4552907241536 21.6525556600815 65
297 NA 20.062860136197 NA
298 NA 19.5454545454545 NA
299 62.2396784800877 20.9871086556169 NA
300 46.1618798955614 19.8582995951417 43
301 43.4143080008915 NA 43
302 NA 24.8864711447493 37
303 77.7482740308019 NA 60
