"sample" "signature_1" "signature_2" "signature_3" "signature_4" "signature_5"
"SRR1069734" 2.22044604925031e-16 0 0 0.652143917531303 0.347856082468697
"SRR1069758" 0 0 0 0 1
"SRR1069778" 0 0 0 1.31091682841293e-243 1
"SRR1069826" 1.11022302462516e-16 0.332504472080497 0 0.667495527919503 2.09598848045275e-31
"SRR1069850" 0 0.333333333333333 1.81288053103192e-209 1.69198679069367e-173 0.666666666666667
"SRR1069871" 0 0 0 0.618943264447384 0.381056735552616
"SRR1069895" 0 0 0 0.408659161246731 0.591340838753269
"SRR1069919" 0 0 0 1 7.60877613745015e-246
"SRR1069967" 0 0.10898820259062 0 0.547406604588508 0.343605192820872
"SRR1069991" 0 0 0 0.495374142574125 0.504625857425875
"SRR1070015" 0 0 0.500040525376445 0.499959474623555 0
"SRR1070036" 0 0 0 1 0
"SRR1070060" 0 0 0 1 0
"SRR1070086" 0 0.85694732891554 0 0.14305267108446 0
"SRR1070111" 0 0 0 1 0
"SRR1070159" 0 0 0 0 1
"SRR1070184" 0 0 0.500846341127853 0.499153658872147 0
"SRR1070208" 0 0 0 1 0
"SRR1070232" 0 0 0 0 1
"SRR1070260" 0 0 0 0.475194491778655 0.524805508221345
"SRR1070286" 0 0 0.253386268071238 0 0.746613731928762
"SRR1070308" 0 0 0 1 0
"SRR1070332" 0 0 0 0.910515085758024 0.0894849142419758
"SRR1070358" 0 2.22399732764598e-291 4.99779637602865e-169 1 1.63638951443207e-160
"SRR1070382" 0 0 0 0 1
"SRR1070403" 0 0 0 0.226575570941934 0.773424429058066
"SRR1070429" 1.11022302462516e-16 0.438157398322141 0.186572187238067 0.375270414439792 0
"SRR1070455" 0 0 0.125156724010478 0.643367689710639 0.231475586278883
"SRR1070479" 0 0 0 0 1
"SRR1070503" 0 0 0 0 1
"SRR1070525" 0 0 0 0.932799783152029 0.0672002168479712
"SRR1070573" 0 0 0 0.156491217835585 0.843508782164415
"SRR1070620" 1.11022302462516e-16 1.60528802164923e-79 0.157527086268964 0.63134818550159 0.211124728229447
"SRR1070641" 0 0 0 0.227579611241494 0.772420388758506
"SRR1070665" 0 0.171712855356219 0 0.316313379464495 0.511973765179286
"SRR1070689" 0 0.326028215954952 0.174382852332517 6.22150823905266e-123 0.499588931712531
"SRR1070713" 0 0 0 0.308353811285258 0.691646188714741
"SRR1070738" 0 0.0291694412180929 5.38208391194687e-246 0.587741431215481 0.383089127566426
"SRR1070764" 0 0 0 3.28089018156174e-245 1
"SRR1070789" 0.446723239640981 0 0 0.553276760359019 0
"SRR1070813" 0 0 0 0 1
"SRR1070841" 0 0.223121224045902 0 0.348548088838504 0.428330687115594
"SRR1070884" 2.22044604925031e-15 0.888662735474157 0 0.11133726452584 0
"SRR1070888" 1.11022302462516e-16 0 0 0.176308970317177 0.823691029682823
"SRR1070913" 2.22044604925031e-16 0.334056094238547 0 0.665943905761453 1.37827156769827e-68
"SRR1070937" 0 0 0 3.08878584921855e-26 1
"SRR1070986" 0 0 0 1 1.12444125143642e-62
"SRR1071011" 0 0 0 3.26806350755149e-108 1
"SRR1071035" 0 0 0 0 1
"SRR1071084" 0 0 0 0 1
"SRR1071105" 0 0 0 1 9.22806179022186e-317
"SRR1071131" 0 0 0 0 1
"SRR1071157" 0.0791926148846502 0.169289242832882 0 0.751518142282468 1.92941545970704e-193
"SRR1071207" 0 0 0.500050002015231 0.499949997984769 0
"SRR1071231" 0 1 0 0 0
"SRR1071313" 0 0 0 0 1
"SRR1071337" 0 0 0 0 1
"SRR1071403" 1.11022302462516e-16 0 0 0.539866115085962 0.460133884914038
"SRR1071429" 0 0.249342057444868 0 0.420954244825491 0.329703697729641
"SRR1071475" 1.11022302462516e-16 0.33197071617558 0 0.66802928382442 7.46029027590913e-176
"SRR1071499" 0 0 0 1 1.91420303626149e-273
"SRR1071519" 0.147910872765472 0.818560355326036 0 0.0281057877474458 0.00542298416104669
"SRR1071543" 0 0 0 0.156448058815189 0.843551941184811
"SRR1071568" 0.0824637229192445 0 0 0.405944255187113 0.511592021893643
"SRR1071620" 0 0 0 0.282902757370071 0.717097242629929
"SRR1071644" 0 0 0 1 0
"SRR1071668" 0.100011279859875 0 0.143038720551269 0.076132841994052 0.680817157594804
"SRR1071692" 0 0 0 1 0
"SRR1071717" 1.11022302462516e-16 0.130310745530939 0 0.537833466354767 0.331855788114294
"SRR1071761" 0 0 0 1 0
"SRR1071785" 0.166666666666667 0 0 1.64153686911056e-157 0.833333333333333
"SRR1071832" 0.0979326714155521 0.207648558808586 0.0406668297550006 0 0.653751940020861
"SRR1071856" 0.229281088245397 0.404421780345864 0 0.14150606939077 0.224791062017968
"SRR1071880" 0 0 0 0 1
"SRR1071905" 0 0 0 1 0
"SRR1071931" 1.11022302462516e-16 0 0 0.150579828781266 0.849420171218734
"SRR1071955" 0 0 0 1 1.38005729242543e-76
"SRR1072031" 0 7.00045645008774e-61 0 1 0
"SRR1072055" 0.182557449982218 0 0 0.308831330629914 0.508611219387868
"SRR1072078" 0 0 0 1 0
"SRR1072104" 0 0 0 0.47320431258552 0.52679568741448
"SRR1072129" 0 0.249655500637388 0 0.474361401325582 0.27598309803703
"SRR1072150" 0 0 0 0 1
"SRR1072223" 0 1 1.84314375415665e-167 2.87432629308352e-290 0
"SRR1072247" 0 0 0 0.256947414694874 0.743052585305126
"SRR1072269" 0 0 0 1 0
"SRR1072297" 0 0 0 0.587982550597794 0.412017449402205
"SRR1072321" 0 0.677278308785026 0 0 0.322721691214974
"SRR1072345" 0 0 0 0.74052886703983 0.25947113296017
"SRR1072388" 1.11022302462516e-16 0 0.146280110355058 0.816293212759319 0.0374266768856225
"SRR1072432" 0 0 0 0.68912207104613 0.31087792895387
"SRR1072456" 0 0 0 0.624645561037892 0.375354438962108
"SRR1072504" 0 0.166096763455916 0 0.129636984178459 0.704266252365625
"SRR1072554" 0 0 0 0 1
"SRR1072578" 0 0 0 1 0
"SRR1072602" 4.44089209850063e-16 0.197785513866745 0.10606575802403 0.576845629856779 0.119303098252446
"SRR1072626" 1.11022302462516e-16 0.174402927063744 0.229870366959914 0 0.595726705976343
"SRR1072650" 0 0 0.500066476520571 0.499933523479429 0
"SRR1072676" 0 0 0.111738189906886 0.725753889777675 0.162507920315439
"SRR1072700" 0 1 0 0 0
"SRR1072724" 0 0 0 0.231907829179283 0.768092170820717
"SRR1072749" 0 0.507835528268793 0 0.492164471731207 0
"SRR1072773" 0 0.101247228635871 0 0.21129551697672 0.687457254387409
"SRR1072797" 0 0 0 0 1
"SRR1072821" 1.11022302462516e-16 0 0 0.722920955271698 0.277079044728302
"SRR1072845" 0.225677187770748 0.274139893424854 0 0.259272394166867 0.240910524637531
"SRR1072871" 0 0.248797475684637 0 0.731739586987082 0.0194629373282805
"SRR1072895" 0.059859958567073 0 0.0743201618104063 0.378460058584804 0.487359821037716
"SRR1072920" 0.500002089961882 0 0 0 0.499997910038118
"SRR1072948" 0 0 0 1.25635027987566e-15 0.999999999999999
"SRR1072972" 0 0 0 0 1
"SRR1072998" 0 0 0 0.146123908668195 0.853876091331805
"SRR1073045" 0 0 0 1 3.46046799522273e-309
"SRR1073095" 0 0 0 0.621472437226852 0.378527562773148
"SRR1073119" 0 0 0 0 1
"SRR1073143" 0 0 0 0 1
"SRR1073217" 0 0.282804148326124 0.154996190802044 0.0368262902527973 0.525373370619034
"SRR1073242" 1.11022302462516e-16 0 0 0.278173448064497 0.721826551935503
"SRR1073267" 0 0 0 1 0
"SRR1073291" 0 0 0 0.678561023153416 0.321438976846583
"SRR1073317" 0 0.333333333333333 0 2.03538071499376e-249 0.666666666666667
"SRR1073365" 0 0.666666666666667 0 0 0.333333333333333
"SRR1073413" 0 0 0 1 1.35240964707592e-31
"SRR1073435" 0 0 0 0 1
"SRR1073459" 0 0 0 0 1
"SRR1073483" 0 0 0 1 0
"SRR1073507" 0 0 0.255182656220676 0.338056486791006 0.406760856988318
"SRR1073531" 0 0 0.501273140696486 0.000103838018878172 0.498623021284636
"SRR1073553" 0 0 0 1 0
"SRR1073581" 0 0 0 0.523826757278927 0.476173242721073
"SRR1073631" 0.054316893825165 0.19343732877134 0 0.459134265977273 0.293111511426222
"SRR1073655" 0.0731313195435201 0.475325049126847 0.117719447871081 0.213347454776753 0.120476728681799
"SRR1073679" 1.11022302462516e-16 0 0.0717825785551 0.398726755395449 0.529490666049451
"SRR1073705" 0 0 0 0 1
"SRR1073731" 1.11022302462516e-16 0.083873569607433 0 0.728517875198202 0.187608555194365
"SRR1073755" 0 0 0 0 1
"SRR1073775" 0 0 0 0 1
"SRR1073878" 0 0 0 1 0
"SRR1073899" 0 0 0 9.81778073991057e-15 0.99999999999999
"SRR1073923" 0 0 0 1 0
"SRR1073947" 0 0 0 4.74466908922722e-22 1
"SRR1073991" 0 0 0 0 1
"SRR1074017" 0 0.10602046542561 0.118710871348676 0.264093081855844 0.51117558136987
"SRR1074041" 0 0 0 1 0
"SRR1074066" 0 0 0 1 0
"SRR1074090" 0 0 0 1 0
"SRR1074116" 0 0 0 1 0
"SRR1074140" 1.11022302462516e-16 0 0 0.648693417896189 0.351306582103811
"SRR1074164" 1.11022302462516e-16 0 0 0.242141704026542 0.757858295973458
"SRR1074189" 0 0 0 0.513632213325787 0.486367786674213
"SRR1074239" 1.11022302462516e-16 0 0.143310991336342 0.644726434183237 0.21196257448042
"SRR1074263" 0 1.06637742312975e-168 6.9298766428259e-56 1 1.30672900017524e-29
"SRR1074289" 0.15757360874457 0.515414415431136 0 0.10560628138626 0.221405694438034
"SRR1074314" 0 0 0 1 0
"SRR1074385" 0 0.333333333333333 0 0 0.666666666666667
"SRR1074410" 0 0.086754774772471 0 0.410768067481053 0.502477157746476
"SRR1074450" 0 0 0 0 1
"SRR1074478" 0.15556927782125 0.760309829550923 0 0.0841208926278271 1.88169277688543e-41
"SRR1074502" 0 0.076513267652464 0.0823641796173507 0.156033281635507 0.685089271094679
"SRR1074550" 0 0 0 6.63722041821429e-48 1
"SRR1074578" 0 3.90243532459792e-189 0.0965988002780726 0.377748405228563 0.525652794493365
"SRR1074622" 1.11022302462516e-16 0 0 0.32795987689873 0.67204012310127
"SRR1074646" 0 0 0 0.388148278012583 0.611851721987417
"SRR1074694" 0.199890104395078 0 0 0.487106687849552 0.31300320775537
"SRR1074719" 0 0 0 1 0
"SRR1074744" 0 0 0 0.721723220981342 0.278276779018658
"SRR1074769" 0 0 0 3.43103737587853e-110 1
"SRR1074790" 0 0 0 0.451042407797936 0.548957592202064
"SRR1074815" 0 0 0 1 0
"SRR1074839" 0 0 0 1 4.20411775509736e-18
"SRR1074884" 2.22044604925031e-16 0.199098638858778 0 0.800901361141222 2.87652013323333e-68
"SRR1074909" 0 0.0650392695663964 0.0639461807647294 0.36770743640937 0.503307113259504
"SRR1074934" 0 0 0 0.919037054388339 0.0809629456116609
"SRR1074956" 1.11022302462516e-16 0 0 0.303204631118512 0.696795368881488
"SRR1074980" 0 0 0 0 1
"SRR1075028" 0 0 0 0.432455540374967 0.567544459625033
"SRR1075078" 0 0 0 4.95204872477186e-220 1
"SRR1075102" 0 0 0 0.350130162375093 0.649869837624907
"SRR1075126" 0 0 0 0.421059091890964 0.578940908109037
"SRR1075150" 0 0 0 1 2.2976786830528e-159
"SRR1075174" 0 0 0 1 0
"SRR1075198" 0 0 0 0 1
"SRR1075273" 0 0 0 0 1
"SRR1075294" 0.500116995361095 0 0 0 0.499883004638905
"SRR1075314" 0 0 0 0.229412099780128 0.770587900219872
"SRR1075336" 0 0 0 1 0
"SRR1075360" 0 0 0 1 0
"SRR1075408" 0 0 0.166826140726926 0.334539198560546 0.498634660712528
"SRR1075433" 0 0 0 0 1
"SRR1075458" 0 0 0 0.860154261903826 0.139845738096174
"SRR1075484" 0 0 0 1 0
"SRR1075505" 0 0.0680737947921445 0.0750940771784645 0.416229516747077 0.440602611282314
"SRR1075530" 0.0504916433592764 0.86617502330739 0 3.89036990535612e-137 0.0833333333333333
"SRR1075579" 0 0 0 0 1
"SRR1075603" 0.0666692911230844 0.268474894777337 0 0.155363580340047 0.509492233759531
"SRR1075607" 0 2.37939130916562e-283 0 0.315628175586718 0.684371824413282
"SRR1075631" 0 0 0 1 0
"SRR1075659" 1 0 0 0 0
"SRR1075683" 0 0 0 0.30006231092225 0.69993768907775
"SRR1075707" 0 0 0 0.303075323551338 0.696924676448662
"SRR1075729" 0 1.76066318149123e-92 0.0309591443943554 0.969040855605645 1.79579841712298e-122
"SRR1075752" 0 0 0 0 1
"SRR1075778" 0 0 0 0.2132875316171 0.7867124683829
"SRR1075804" 0 0.245210429451145 0 0.442120989682848 0.312668580866007
"SRR1075825" 0 0 0 0.646907486109268 0.353092513890732
"SRR1075850" 0 0 0 0 1
"SRR1075874" 0 0 0 0 1
"SRR1075898" 0 0 0 0.470165044073749 0.529834955926251
"SRR1075923" 0 0 0 0 1
"SRR1075947" 0 0 0 1 6.752316410804e-41
"SRR1075971" 0 0 0 0.370041769870387 0.629958230129613
"SRR1075997" 2.22044604925031e-16 0 0 0.452345377962902 0.547654622037098
"SRR1076022" 1.11022302462516e-16 0 0 0.0763697662776706 0.923630233722329
"SRR1076046" 2.22044604925031e-16 0 0.169425645875227 0.558977396479912 0.271596957644861
"SRR1076096" 0 0 0 1 0
"SRR1076120" 1 0 0 0 0
"SRR1076144" 2.22044604925031e-16 0.145739575543568 0 0.0787579844366004 0.775502440019831
"SRR1076170" 0 0 0 0 1
"SRR1076195" 0 0 0.16860172340036 0.406704005678664 0.424694270920976
"SRR1076219" 2.22044604925031e-16 0 0 0.318211026226942 0.681788973773058
"SRR1076244" 0.219345047310725 0.780654952689275 0 0 0
"SRR1076268" 0 0 0 0.0793219213354205 0.92067807866458
"SRR1076292" 0.249810438928011 0 0 0.750189561071989 0
"SRR1076317" 0 0 0.111313581549402 0.502826071638676 0.385860346811921
"SRR1076343" 0 0 0 1 0
"SRR1076369" 0 0.250704889193194 0 0.437902198583853 0.311392912222952
"SRR1076393" 0 0 0 0 1
"SRR1076417" 0 0 0 0 1
"SRR1076535" 0.143251180084218 0 0 0.856748819915782 0
"SRR1076559" 0 1 0 0 0
"SRR1076584" 0 0 0 2.82201678167758e-188 1
"SRR1076608" 1.11022302462516e-16 0 0 0.401476237706309 0.598523762293691
"SRR1076632" 0 0 0 0.315666699808192 0.684333300191808
"SRR1076657" 0.00538517805809446 0.0168661045182022 0.0694343321037505 0.755400109733263 0.15291427558669
"SRR1076681" 0 0 0 3.65899316807957e-305 1
"SRR1076705" 0 0 0.12624502607644 7.58761211772358e-08 0.873754898047439
"SRR1076729" 0 0 0.250284886694178 0.563653587815025 0.186061525490798
"SRR1076753" 0 1.05474221660434e-115 0.248105311352005 0.317783907291255 0.43411078135674
"SRR1076801" 0 0 0.303499917211253 0.531029812244387 0.16547027054436
"SRR1076823" 0 1.34362501150775e-242 0 1 1.24684583129456e-168
"SRR1076868" 0 0 0 1 0
"SRR1076892" 0 0 0 0 1
"SRR1076916" 0 0 1 0 0
"SRR1076990" 0 0 0 1 0
"SRR1077038" 0 0 0 1 3.34054927648443e-185
"SRR1077115" 0 0 0 1 0
"SRR1077139" 0 0 0 0.484416339576744 0.515583660423256
"SRR1077159" 0 0.432047199964904 0 0.567952800035096 0
"SRR1077183" 0 0 0 0.056707346172148 0.943292653827852
"SRR1077211" 0 1.68001852232546e-114 0.0727393904607235 0.927260609539276 0
"SRR1077239" 0 0 0 1 0
"SRR1077263" 0.470910554370992 0.266895180881654 0 0.262194264747354 0
"SRR1077310" 0 0.200611979846669 0 0.169238510283545 0.630149509869786
"SRR1077334" 0 0 0 0 1
"SRR1077356" 0.00515373025439914 0.122175110662741 0.0555659102537094 0.395416236794166 0.421689012034984
"SRR1077380" 1.11022302462516e-16 0.139119382084271 0.149783645197811 0 0.711096972717918
"SRR1077455" 0 0 0 0 1
"SRR1077479" 0 1 0 0 0
"SRR1077503" 0 0 0 4.83271073287603e-112 1
"SRR1077528" 0 0 0.500506896230005 0 0.499493103769995
"SRR1077549" 0 0.0297392790299516 0.39466972357317 0.575590997396879 1.32906317429086e-289
"SRR1077575" 1.11022302462516e-16 0.845980393490228 0 0.0696220781138357 0.0843975283959359
"SRR1077599" 0 0 0 6.61401369349469e-10 0.999999999338599
"SRR1077619" 0 0 0 0.638609973872743 0.361390026127257
"SRR1077643" 1.11022302462516e-16 0.284956240392833 0 0.383792956574094 0.331250803033073
"SRR1077687" 0 0 0 1 1.40269769129928e-190
"SRR1077708" 0 0 0 0 1
"SRR1077728" 0 0 0 1 0
"SRR1077753" 1.11022302462516e-16 0 0.333402161562317 0.666597838437682 0
"SRR1077781" 0 0.20162306347654 0 0.111236861268748 0.687140075254712
"SRR1077805" 0 0 0 0 1
"SRR1077850" 0 0 0 1 0
"SRR1077874" 0 0.5 0 0 0.5
"SRR1077898" 0 0 0 0.749386577996896 0.250613422003104
"SRR1077920" 0 0 0.513193948566529 0.486806051433471 0
"SRR1077944" 0.134106804548902 0.777923398155193 0.000341034856296317 0.0876287624396087 2.33118402375764e-121
"SRR1077968" 0 0 0 0 1
"SRR1077992" 0.108422891075912 0.859128887660222 0.0130761408538743 0.0193720804099924 0
"SRR1077996" 0 0 0 1 0
"SRR1078020" 0.0612509240768087 0.109695702277821 0 0.443948577369161 0.385104796276209
"SRR1078066" 0 0 0 4.61914590449326e-213 1
"SRR1078090" 0 0 0 0 1
"SRR1078140" 0 0 0 0.262861160544446 0.737138839455554
"SRR1078164" 0 0 0.500868783710365 0.499131216289635 2.19015958706596e-266
"SRR1078212" 0 1.59694099721663e-116 0.333445738492177 0 0.666554261507823
"SRR1078234" 0.207940978447729 0.733551469596125 0.0117570369686171 0.046750514987529 0
"SRR1078278" 0 0 0 0.378947016397552 0.621052983602448
"SRR1078299" 1.11022302462516e-16 0.421057506456922 0.079123772007618 0.49981872153546 0
"SRR1078323" 0 0 0 0 1
"SRR1078347" 0 0 0 0.461589826132161 0.538410173867839
"SRR1078368" 0.191127313439107 0.210109960811743 0 0 0.59876272574915
"SRR1078392" 0.140542482824652 0.14815713733662 0 0.194550418672671 0.516749961166057
"SRR1078417" 0 3.40308587683411e-169 0.193185649858278 0.675502279168393 0.131312070973329
"SRR1078439" 0 0 0 3.57684165689286e-299 1
"SRR1078465" 0 0 0 1 1.2594073806326e-34
"SRR1078489" 0 0 0 1 0
"SRR1078514" 0 0 0 0 1
"SRR1078538" 0 0.5 4.012280283519e-300 1.47524861336319e-118 0.5
"SRR1078562" 0.0673308061285997 0.704335803625363 0 0.228333390246037 0
"SRR1078612" 0 0 0.33353450629981 0.332066157304095 0.334399336396096
"SRR1078636" 0 0 0.250122131405827 0.50189051186027 0.247987356733902
"SRR1078660" 0 0 0 1 0
"SRR1078684" 0 0 0 0.517425770929423 0.482574229070577
"SRR1078735" 0 0.5 0 0 0.5
"SRR1078783" 0 0 0 1 0
"SRR1078809" 0.186668453226878 0 0.133835074816563 0.328481453621181 0.351015018335378
"SRR1078855" 0 0 0 0.355197487492332 0.644802512507668
"SRR1078879" 0 0 0 0 1
"SRR1078903" 0 0 0 1 2.08363780098193e-28
"SRR1078924" 0 1.45981394694074e-82 0.251059727905851 0 0.748940272094149
"SRR1078948" 3.33066907387547e-16 0.651187512198337 0 0.218317284369656 0.130495203432006
"SRR1078972" 1.11022302462516e-16 0 0 0.999994867992086 5.13200791385715e-06
"SRR1078998" 0 0.0890880347646525 0 0.652954727108646 0.257957238126702
"SRR1079023" 0 0 0 0.469601660639743 0.530398339360257
"SRR1079046" 0 0 0.11833378978972 0.585753460509077 0.295912749701203
"SRR1079070" 0 0 0 1.25838674225172e-282 1
"SRR1079118" 0 0.0697449400837271 0 0.861458537618178 0.0687965222980953
"SRR1079168" 0 0 0 1 4.01141925240761e-193
"SRR1079189" 1 0 0 0 0
"SRR1079237" 0 0 0 0.324622481122845 0.675377518877155
"SRR1079259" 0 0.0173370619905807 0 0.457974505173411 0.524688432836008
"SRR1079306" 0 0 0 1 0
"SRR1079330" 0 0.332085543617129 0 0.578564787436465 0.0893496689464056
"SRR1079380" 0 0 0 0 1
"SRR1079404" 0 0.602330461661549 9.70998739701991e-276 0.397669538338451 0
"SRR1079434" 0 0.333020472197022 0 0.30683838558211 0.360141142220867
"SRR1079455" 0 0 0 2.30062009831212e-120 1
"SRR1079480" 0 0 0 0 1
"SRR1079502" 0 0 0 3.39823000955798e-259 1
"SRR1079567" 0.143925649908967 0.143229511231907 0 0.592138947396603 0.120705891462523
"SRR1079612" 0 0.120566119517673 9.64484507889387e-299 0.847795268810066 0.0316386116722604
"SRR1079636" 0.261057480246501 0.391785589093093 0 0.347156930660406 0
"SRR1079660" 0 0 0 0 1
"SRR1079686" 0 1 0 0 0
"SRR1079706" 0 0.73404388127932 0 0.265936793736241 1.93249844383091e-05
"SRR1079730" 0 0.0301179482095713 0.263823894425121 0.59312283465376 0.112935322711548
"SRR1079754" 0 0 0 0 1
"SRR1079782" 0 1 0 0 0
"SRR1079806" 0 0 0 1 0
"SRR1079830" 0 0 0 1 5.78547646628133e-95
"SRR1079850" 0 0 0.333884184505946 0 0.666115815494054
"SRR1079874" 0 0 0 1 0
"SRR1079924" 1.11022302462516e-16 0 0 0.609585156944946 0.390414843055054
"SRR1079948" 0 0 0 0.221674435058419 0.778325564941581
"SRR1079973" 0 0 0 1 0
"SRR1079998" 0 0 0 0.474849330949841 0.52515066905016
"SRR1080022" 2.22044604925031e-16 0 0 0.248858122509688 0.751141877490312
"SRR1080044" 0.0608315004920736 0.351982672008735 0 0.385749420831522 0.20143640666767
"SRR1080048" 0.213163528817876 0.286836471182124 0 3.21707696078722e-43 0.5
"SRR1080072" 0.111106234792792 0 0 0.188006669136386 0.700887096070822
"SRR1080093" 0 0 0 1 1.69693937056003e-49
"SRR1080117" 0 0.0738932138223661 0.082639239148039 0.412360787895956 0.431106759133639
"SRR1080143" 1.11022302462516e-16 0.0341700485133417 0.0730255716090749 0.279152386142274 0.613651993735309
"SRR1080148" 0 0 0 0 1
"SRR1080172" 0 0 0 3.23127178529955e-244 1
"SRR1080196" 0.191921818361387 6.88013322426691e-298 0.208608120018868 0 0.599470061619745
"SRR1080222" 0 0.210891233925878 0.308006712166231 0 0.481102053907891
"SRR1080270" 0 6.35607177963326e-113 0.0726758723686098 0.92732412763139 0
"SRR1080294" 0 0.136398649761714 0.295487407758402 4.56981102981492e-206 0.568113942479883
"SRR1080318" 0 0 0 0.389933270005404 0.610066729994596
"SRR1080342" 0 0 0 0.404480790597528 0.595519209402472
"SRR1080366" 0 0 0 1 7.32445558084539e-26
"SRR1080391" 0 0.0913715455200673 0 0.292824830011673 0.615803624468259
"SRR1080438" 0 0 0 1 0
"SRR1080459" 0 0 0 0 1
"SRR1080484" 0 0 0 0 1
"SRR1080509" 0 0 0 0.516575135303442 0.483424864696558
"SRR1080534" 0 0 0 1 0
"SRR1080560" 0 0.198754804344374 0 0.274755931754748 0.526489263900878
"SRR1080600" 2.22044604925031e-16 0 0 0.146262516477624 0.853737483522376
"SRR1080696" 0 0 0.586524780276739 0 0.413475219723261
"SRR1080720" 0 0.0989525136587625 0 0.634144860022544 0.266902626318693
"SRR1080742" 0 0 0 1 0
"SRR1080766" 0 0.48242579316761 7.94639334234902e-77 0.149748514323223 0.367825692509168
"SRR1080790" 0 0 0 0 1
"SRR1080811" 0.0458983436245333 0.353848094011516 0 0.117689908805138 0.482563653558814
"SRR1080835" 0 0 0 0 1
"SRR1080859" 0 0 0 0 1
"SRR1080879" 1.11022302462516e-16 0.117486485606919 0.130962397968574 0.679717895342551 0.0718332210819567
"SRR1080903" 0 0 0 1 0
"SRR1080951" 0 0 0 0.633164011864383 0.366835988135617
"SRR1080998" 0 0 0 1 2.78631308720952e-78
"SRR1081023" 0 0 0 1 0
"SRR1081068" 0 0 0 0 1
"SRR1081116" 0 0.402601422326694 0 0.335876439319993 0.261522138353313
"SRR1081137" 0 0.0911353064618353 0 0 0.908864693538165
"SRR1081184" 0 0 0 0.434521232263311 0.565478767736689
"SRR1081209" 1.11022302462516e-16 0 0 0.687941847763331 0.312058152236669
"SRR1081235" 0.317550627908743 0.653717015734961 0 0.028732356356296 0
"SRR1081259" 0 0 0 1 0
"SRR1081283" 0.241438781955163 0.257762601184222 0 0.500798616860615 0
"SRR1081308" 0 0.332851792234368 0 0.336522922065054 0.330625285700578
"SRR1081332" 0 0 0.500213785205271 0 0.499786214794729
"SRR1081357" 0 0 0 1 0
"SRR1081401" 0 0 0 8.62578544906128e-32 1
"SRR1081425" 0 8.95426835396022e-119 0.313855993968174 0.686144006031826 0
"SRR1081493" 0 0 0 0 1
"SRR1081519" 0 0 0 0.75877821067673 0.24122178932327
"SRR1081543" 0 0 0 0 1
"SRR1081567" 0 0 0 1.10911300828494e-180 1
"SRR1081614" 0 0.248626098899198 0 0.751373901100802 0
"SRR1081663" 0 0 0 0.183461863681595 0.816538136318406
"SRR1081688" 0 0 0.500210871661996 0 0.499789128338004
"SRR1081712" 0 0 0 0.00840894110974566 0.991591058890254
"SRR1081717" 0 0.599363839705826 0 0.400636160294174 0
"SRR1081741" 0 0 0 0.252614096269013 0.747385903730987
"SRR1081813" 0 0 0 0.416235185670203 0.583764814329797
"SRR1081838" 0 0 0 0 1
"SRR1081864" 0.143952561566232 0.0011290916695471 2.44353663024233e-316 0.726357594827736 0.128560751936484
"SRR1081886" 0.100056349670156 0 0 0.851010546287809 0.0489331040420347
"SRR1081910" 0 0.249639517747043 0 0.496369143157584 0.253991339095372
"SRR1081935" 0 0 0.333833404603474 0 0.666166595396526
"SRR1081961" 0 0 0 0.521586664965236 0.478413335034764
"SRR1081987" 0 0 0 1 0
"SRR1082011" 0 0.142404611332012 0 0.273453082934055 0.584142305733933
"SRR1082035" 0 0 0 0 1
