Assay_Type_s	AssemblyName_s	BioSample_s	Consent_s	InsertSize_l	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	analyte_type_s	body_site_s	gap_consent_code_s	gap_sample_id_s	gap_subject_id_s	histological_type_s	is_tumor_s	molecular_data_type_s	sex_s	submitted_sample_id_s	submitted_subject_id_s	BioProject_s	BioSampleModel_s	Center_Name_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	gap_accession_s	source_s	study_design_s	study_name_s	submitter_handle_s
RNA-Seq	HG19_Broad_variant	SAMN00992766	GRU	177	Solexa-85082	7783	4375	SRR598148	SRS333278	GTEX-NPJ8-0426-SM-2HMK6	RNA:Total RNA	Heart - Left Ventricle	1	735956	590926	Heart	No	RNA Expression (NGS)	male	GTEX-NPJ8-0426-SM-2HMK6	GTEX-NPJ8	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993015	GRU	206	Solexa-85371	7542	4046	SRR598172	SRS333527	GTEX-OXRP-0006-SM-2I3FN	RNA:Total RNA	Whole Blood	1	736170	590943	Blood	No	RNA Expression (NGS)	female	GTEX-OXRP-0006-SM-2I3FN	GTEX-OXRP	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992917	GRU	171	Solexa-85396	7459	3878	SRR598196	SRS333429	GTEX-N7MT-0011-R6a-SM-2I3G3	RNA:Total RNA	Brain - Nucleus accumbens (basal ganglia)	1	735849	590921	Brain	No	RNA Expression (NGS)	female	GTEX-N7MT-0011-R6a-SM-2I3G3	GTEX-N7MT	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992526	GRU	217	Solexa-86344	10156	5868	SRR598220	SRS333038	GTEX-QEG5-0006-SM-2I5FZ	RNA:Total RNA	Whole Blood	1	736458	590970	Blood	No	RNA Expression (NGS)	male	GTEX-QEG5-0006-SM-2I5FZ	GTEX-QEG5	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992443	GRU	177	Solexa-85085	9657	5304	SRR598253	SRS332955	GTEX-Q2AG-0011-R6A-SM-2HML7	RNA:Total RNA	Brain - Nucleus accumbens (basal ganglia)	1	736381	590962	Brain	No	RNA Expression (NGS)	female	GTEX-Q2AG-0011-R6A-SM-2HML7	GTEX-Q2AG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992447	GRU	179	Solexa-85123	6746	3800	SRR598276	SRS332959	GTEX-N7MS-0011-R7a-SM-2HMKN	RNA:Total RNA	Brain - Putamen (basal ganglia)	1	735823	590920	Brain	No	RNA Expression (NGS)	male	GTEX-N7MS-0011-R7a-SM-2HMKN	GTEX-N7MS	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993052	GRU	173	Solexa-85414	18192	9824	SRR598300	SRS333564	GTEX-PX3G-0006-SM-2I3E4	RNA:Total RNA	Whole Blood	1	736354	590961	Blood	No	RNA Expression (NGS)	female	GTEX-PX3G-0006-SM-2I3E4	GTEX-PX3G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992568	GRU	177	Solexa-86285	9473	5494	SRR598332	SRS333080	GTEX-P44G-2426-SM-2I5ER	RNA:Total RNA	Brain - Cortex	1	736200	590944	Brain	No	RNA Expression (NGS)	male	GTEX-P44G-2426-SM-2I5ER	GTEX-P44G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992492	GRU	188	Solexa-86360	11879	6827	SRR598364	SRS333004	GTEX-QLQ7-0726-SM-2I5G2	RNA:Total RNA	Thyroid	1	736481	590972	Thyroid	No	RNA Expression (NGS)	male	GTEX-QLQ7-0726-SM-2I5G2	GTEX-QLQ7	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992829	GRU	176	Solexa-86324	7545	4309	SRR598396	SRS333341	GTEX-P44G-2526-SM-2I5EK	RNA:Total RNA	Brain - Cerebellum	1	736202	590944	Brain	No	RNA Expression (NGS)	male	GTEX-P44G-2526-SM-2I5EK	GTEX-P44G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992471	GRU	177	Solexa-85080	9443	5200	SRR598428	SRS332983	GTEX-Q2AG-0011-R5A-SM-2HMJH	RNA:Total RNA	Brain - Caudate (basal ganglia)	1	736379	590962	Brain	No	RNA Expression (NGS)	female	GTEX-Q2AG-0011-R5A-SM-2HMJH	GTEX-Q2AG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992719	GRU	192	Solexa-86371	14336	8202	SRR598452	SRS333231	GTEX-OHPN-2726-SM-2I5H4	RNA:Total RNA	Muscle - Skeletal	1	736055	590933	Muscle	No	RNA Expression (NGS)	female	GTEX-OHPN-2726-SM-2I5H4	GTEX-OHPN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992416	GRU	179	Solexa-85366	6953	3602	SRR598484	SRS332928	GTEX-PW2O-0526-SM-2I3DX	RNA:Total RNA	Lung	1	736309	590956	Lung	No	RNA Expression (NGS)	male	GTEX-PW2O-0526-SM-2I3DX	GTEX-PW2O	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992513	GRU	179	Solexa-85435	6436	3508	SRR598509	SRS333025	GTEX-N7MT-1326-SM-2I3FV	RNA:Total RNA	Heart - Left Ventricle	1	735859	590921	Heart	No	RNA Expression (NGS)	female	GTEX-N7MT-1326-SM-2I3FV	GTEX-N7MT	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992961	GRU	174	Solexa-86335	11168	6501	SRR598533	SRS333473	GTEX-OHPN-0011-R11A-SM-2I5FM	RNA:Total RNA	Brain - Cerebellar Hemisphere	1	736031	590933	Brain	No	RNA Expression (NGS)	female	GTEX-OHPN-0011-R11A-SM-2I5FM	GTEX-OHPN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992969	GRU	180	Solexa-85352	7873	4078	SRR598565	SRS333481	GTEX-Q2AI-0326-SM-2I3EK	RNA:Total RNA	Thyroid	1	736411	590964	Thyroid	No	RNA Expression (NGS)	male	GTEX-Q2AI-0326-SM-2I3EK	GTEX-Q2AI	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993090	GRU	184	Solexa-86318	11238	6446	SRR598589	SRS333602	GTEX-PLZ5-0626-SM-2I5F8	RNA:Total RNA	Heart - Left Ventricle	1	736278	590952	Heart	No	RNA Expression (NGS)	male	GTEX-PLZ5-0626-SM-2I5F8	GTEX-PLZ5	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992558	GRU	168	Solexa-85365	7656	4068	SRR598638	SRS333070	GTEX-NL3H-0011-R5a-SM-2I3GB	RNA:Total RNA	Brain - Caudate (basal ganglia)	1	735887	590923	Brain	No	RNA Expression (NGS)	male	GTEX-NL3H-0011-R5a-SM-2I3GB	GTEX-NL3H	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992802	GRU	170	Solexa-85383	10918	6136	SRR598645	SRS333314	GTEX-PWOO-0926-SM-2I3EC	RNA:Total RNA	Thyroid	1	736350	590960	Thyroid	No	RNA Expression (NGS)	female	GTEX-PWOO-0926-SM-2I3EC	GTEX-PWOO	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992948	GRU	176	Solexa-85444	6546	3526	SRR598671	SRS333460	GTEX-N7MT-0011-R4a-SM-2I3G9	RNA:Total RNA	Brain - Amygdala	1	735846	590921	Brain	No	RNA Expression (NGS)	female	GTEX-N7MT-0011-R4a-SM-2I3G9	GTEX-N7MT	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992464	GRU	173	Solexa-85113	13190	7157	SRR598695	SRS332976	GTEX-Q2AG-1026-SM-2HMJX	RNA:Total RNA	Lung	1	736393	590962	Lung	No	RNA Expression (NGS)	female	GTEX-Q2AG-1026-SM-2HMJX	GTEX-Q2AG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992753	GRU	201	Solexa-85406	6444	3483	SRR598725	SRS333265	GTEX-PWOO-0006-SM-2I3E3	RNA:Total RNA	Whole Blood	1	736346	590960	Blood	No	RNA Expression (NGS)	female	GTEX-PWOO-0006-SM-2I3E3	GTEX-PWOO	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992475	GRU	241	Solexa-74473	4454	2332	SRR598749	SRS332987	K-562-SM-2D7VY	RNA:Total RNA	Cells - Leukemia cell line (CML)	1	736508	590982	Bone Marrow	Yes	RNA Expression (NGS)	female	K-562-SM-2D7VY	K-562	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993023	GRU	167	Solexa-85394	6872	3566	SRR598768	SRS333535	GTEX-P44G-0011-R1A-SM-2I3FE	RNA:Total RNA	Brain - Hippocampus	1	736184	590944	Brain	No	RNA Expression (NGS)	male	GTEX-P44G-0011-R1A-SM-2I3FE	GTEX-P44G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992693	GRU	204	Solexa-86322	14090	8161	SRR598792	SRS333205	GTEX-QDVN-0926-SM-2I5GL	RNA:Total RNA	Pancreas	1	736447	590968	Pancreas	No	RNA Expression (NGS)	male	GTEX-QDVN-0926-SM-2I5GL	GTEX-QDVN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992726	GRU	173	Solexa-85153	25003	12678	SRR598831	SRS333238	GTEX-Q2AG-0005-SM-2HMK3	RNA:Total RNA	Whole Blood	1	736365	590962	Blood	No	RNA Expression (NGS)	female	GTEX-Q2AG-0005-SM-2HMK3	GTEX-Q2AG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992466	GRU	169	Solexa-85074	8085	4527	SRR598862	SRS332978	GTEX-Q2AG-0011-R8A-SM-2HMK5	RNA:Total RNA	Brain - Hypothalamus	1	736385	590962	Brain	No	RNA Expression (NGS)	female	GTEX-Q2AG-0011-R8A-SM-2HMK5	GTEX-Q2AG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992450	GRU	0	Solexa-86303	8915	5207	SRR598894	SRS332962	GTEX-OHPN-0011-R7A-SM-2I5FI	RNA:Total RNA	Brain - Putamen (basal ganglia)	1	736045	590933	Brain	No	RNA Expression (NGS)	female	GTEX-OHPN-0011-R7A-SM-2I5FI	GTEX-OHPN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992539	GRU	0	Solexa-86329	12316	6966	SRR599025	SRS333051	GTEX-QMRM-0526-SM-2I5GA	RNA:Total RNA	Heart - Left Ventricle	1	736488	590974	Heart	No	RNA Expression (NGS)	male	GTEX-QMRM-0526-SM-2I5GA	GTEX-QMRM	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992642	GRU	183	Solexa-85149	7419	4159	SRR599059	SRS333154	GTEX-OIZG-0526-SM-2HMLF	RNA:Total RNA	Lung	1	736074	590935	Lung	No	RNA Expression (NGS)	male	GTEX-OIZG-0526-SM-2HMLF	GTEX-OIZG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992965	GRU	0	Solexa-86359	9985	5778	SRR599086	SRS333477	GTEX-PSDG-0926-SM-2I5FP	RNA:Total RNA	Heart - Left Ventricle	1	736304	590955	Heart	No	RNA Expression (NGS)	male	GTEX-PSDG-0926-SM-2I5FP	GTEX-PSDG	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992647	GRU	180	Solexa-86356	8675	5034	SRR599122	SRS333159	GTEX-P44G-0626-SM-2I5EO	RNA:Total RNA	Thyroid	1	736196	590944	Thyroid	No	RNA Expression (NGS)	male	GTEX-P44G-0626-SM-2I5EO	GTEX-P44G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993031	GRU	173	Solexa-86305	17560	9736	SRR599154	SRS333543	GTEX-QMRM-0826-SM-2I5G7	RNA:Total RNA	Lung	1	736492	590974	Lung	No	RNA Expression (NGS)	male	GTEX-QMRM-0826-SM-2I5G7	GTEX-QMRM	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992420	GRU	167	Solexa-85420	12326	7292	SRR599192	SRS332932	GTEX-N7MT-0011-R5a-SM-2I3G6	RNA:Total RNA	Brain - Caudate (basal ganglia)	1	735848	590921	Brain	No	RNA Expression (NGS)	female	GTEX-N7MT-0011-R5a-SM-2I3G6	GTEX-N7MT	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992609	GRU	169	Solexa-85386	7669	3935	SRR599225	SRS333121	GTEX-P44G-0011-R11A-SM-2I3FD	RNA:Total RNA	Brain - Cerebellar Hemisphere	1	736182	590944	Brain	No	RNA Expression (NGS)	male	GTEX-P44G-0011-R11A-SM-2I3FD	GTEX-P44G	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992896	GRU	188	Solexa-86289	11006	6413	SRR599249	SRS333408	GTEX-QESD-0526-SM-2I5G5	RNA:Total RNA	Heart - Left Ventricle	1	736473	590971	Heart	No	RNA Expression (NGS)	male	GTEX-QESD-0526-SM-2I5G5	GTEX-QESD	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992461	GRU	0	Solexa-86340	8789	5111	SRR599281	SRS332973	GTEX-OXRO-0006-SM-2I5EM	RNA:Total RNA	Whole Blood	1	736158	590942	Blood	No	RNA Expression (NGS)	female	GTEX-OXRO-0006-SM-2I5EM	GTEX-OXRO	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992487	GRU	173	Solexa-85403	15153	8508	SRR599313	SRS332999	GTEX-QDVN-2126-SM-2I3FR	RNA:Total RNA	Adipose - Subcutaneous	1	736449	590968	Adipose Tissue	No	RNA Expression (NGS)	male	GTEX-QDVN-2126-SM-2I3FR	GTEX-QDVN	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993002	GRU	176	Solexa-86310	14154	8173	SRR599346	SRS333514	GTEX-P78B-0526-SM-2I5F7	RNA:Total RNA	Thyroid	1	736264	590950	Thyroid	No	RNA Expression (NGS)	female	GTEX-P78B-0526-SM-2I5F7	GTEX-P78B	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992769	GRU	0	Solexa-86368	12000	6916	SRR599380	SRS333281	GTEX-QLQ7-0526-SM-2I5G3	RNA:Total RNA	Heart - Left Ventricle	1	736479	590972	Heart	No	RNA Expression (NGS)	male	GTEX-QLQ7-0526-SM-2I5G3	GTEX-QLQ7	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992786	GRU	176	Solexa-86313	17088	9991	SRR599412	SRS333298	GTEX-QMRM-0726-SM-2I5G8	RNA:Total RNA	Thyroid	1	736490	590974	Thyroid	No	RNA Expression (NGS)	male	GTEX-QMRM-0726-SM-2I5G8	GTEX-QMRM	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00992868	GRU	163	Solexa-85437	6765	3734	SRR599448	SRS333380	GTEX-NL3H-0011-R4a-SM-2I3GK	RNA:Total RNA	Brain - Amygdala	1	735885	590923	Brain	No	RNA Expression (NGS)	male	GTEX-NL3H-0011-R4a-SM-2I3GK	GTEX-NL3H	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
RNA-Seq	HG19_Broad_variant	SAMN00993029	GRU	171	Solexa-85421	5566	2987	SRR599486	SRS333541	GTEX-N7MT-0011-R2a-SM-2I3GI	RNA:Total RNA	Brain - Substantia nigra	1	735842	590921	Brain	No	RNA Expression (NGS)	female	GTEX-N7MT-0011-R2a-SM-2I3GI	GTEX-N7MT	PRJNA75899	Generic	BI	ILLUMINA	SRP012682	<not provided>	<not provided>	phs000424	<not provided>	Cross-Sectional	Genotype-Tissue Expression (GTEx)	GTEx
